temperature,humidity,windspeed,count
16.190237497797769,72.11028277634962,13.550332906856935,
9.850608602505364,60.570932544987144,11.288847924464294,362
18.294672902037536,46.821446683804616,,878
28.766951775350872,54.126625295629815,18.519194324611444,1017
1.3613933944539252,59.62346035989719,12.414597230297014,73
31.87138717959064,48.72917737789203,18.386304262720284,771
4.800710454619847,,8.228738608774028,143
,61.08277634961439,13.817824979906785,651
12.913564355262201,52.32509367609255,11.943097869534485,464
7.863769943791906,57.40695948586118,16.035084606221847,
